"NOC2006","NOC2011","Title2006","Title2011",,,,,,,,,,,
2142,2142,"Metallurgical and Materials Engineers","Metallurgical and materials engineers",,,,,,,,,,,
2143,2143,"Mining Engineers","Mining engineers",,,,,,,,,,,
2144,2144,"Geological Engineers","Geological engineers",,,,,,,,,,,
2145,2145,"Petroleum Engineers","Petroleum engineers",,,,,,,,,,,
2146,2146,"Aerospace Engineers","Aerospace engineers",,,,,,,,,,,
2147,2147,"Computer Engineers (Except Software Engineer","Computer engineers (except software engineers and designers)",,,,,,,,,,,
2148,2148,"Other Professional Engineers, n.e.c.","Other professional engineers, n.e.c.",,,,,,,,,,,
2151,2151,"Architects","Architects",,,,,,,,,,,
2152,2152,"Landscape Architects","Landscape architects",,,,,,,,,,,
2153,2153,"Urban and Land Use Planners","Urban and land use planners",,,,,,,,,,,
2154,2154,"Land Surveyors","Land surveyors",,,,,,,,,,,
2161,1254,"Mathematicians, Statisticians and Actuaries","Statistical officers and related research support occupations",,,,,,,,,,,
2161,2161,"Mathematicians, Statisticians and Actuaries","Mathematicians, statisticians and actuaries",,,,,,,,,,,
2171,2171,"Information Systems Analysts and Consultants","Information systems analysts and consultants",,,,,,,,,,,
2172,2172,"Database Analysts and Data Administrators","Database analysts and data administrators",,,,,,,,,,,
2173,2173,"Software Engineers and Designers","Software engineers and designers",,,,,,,,,,,
2174,2174,"Computer Programmers and Interactive Media Developers","Computer programmers and interactive media developers",,,,,,,,,,,
2175,2175,"Web Designers and Developers","Web designers and developers",,,,,,,,,,,
2211,2211,"Chemical Technologists and Technicians","Chemical technologists and technicians",,,,,,,,,,,
2212,2212,"Geological and Mineral Technologists and Technicians","Geological and mineral technologists and technicians",,,,,,,,,,,
2221,2221,"Biological Technologists and Technicians","Biological technologists and technicians",,,,,,,,,,,
2222,2222,"Agricultural and Fish Products Inspectors","Agricultural and fish products inspectors",,,,,,,,,,,
2223,2223,"Forestry Technologists and Technicians","Forestry technologists and technicians",,,,,,,,,,,
2224,2224,"Conservation and Fishery Officers","Conservation and fishery officers",,,,,,,,,,,
2225,2225,"Landscape and Horticulture Technicians and Specialists","Landscape and horticulture technicians and specialists",,,,,,,,,,,
2231,2231,"Civil Engineering Technologists and Technicians","Civil engineering technologists and technicians",,,,,,,,,,,
2232,2232,"Mechanical Engineering Technologists and Technicians","Mechanical engineering technologists and technicians",,,,,,,,,,,
2233,2233,"Industrial engineering and manufacturing technologists and technicians","Industrial engineering and manufacturing technologists and technicians",,,,,,,,,,,
2234,2234,"Construction Estimators","Construction estimators",,,,,,,,,,,
2241,2241,"Electrical & Electronics Engineering Technol","Electrical and electronics engineering technologists and technicians",,,,,,,,,,,
2242,2242,"Electronic service technicians (household and business equipment)","Electronic service technicians (household and business equipment)",,,,,,,,,,,
2243,2243,"Industrial Instrument Technicians and Mechanics","Industrial instrument technicians and mechanics",,,,,,,,,,,
2244,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",,,,,,,,,,,
2251,2251,"Architectural Technologists and Technicians","Architectural technologists and technicians",,,,,,,,,,,
2252,2252,"Industrial Designers","Industrial designers",,,,,,,,,,,
2253,2253,"Drafting Technologists and Technicians","Drafting technologists and technicians",,,,,,,,,,,
2254,2254,"Land Survey Technologists and Technicians","Land survey technologists and technicians",,,,,,,,,,,
2255,2255,"Mapping and Related Technologists and Technicians","Technical occupations in geomatics and meteorology",,,,,,,,,,,
2261,2261,"Non-Destructive Testers and Inspectors","Non-destructive testers and inspection technicians",,,,,,,,,,,
2262,2262,"Engineering Inspectors and Regulatory Office","Engineering inspectors and regulatory officers",,,,,,,,,,,
2263,2263,"Inspectors, Public & Environ Health & Occupations","Inspectors in public and environmental health and occupational health and safety",,,,,,,,,,,
2264,2264,"Construction Inspectors","Construction inspectors",,,,,,,,,,,
2271,2271,"Air Pilots, Flight Engineers and Flying Instructors","Air pilots, flight engineers and flying instructors",,,,,,,,,,,
2272,2272,"Air Traffic Control and Related Occupations","Air traffic controllers and related occupations",,,,,,,,,,,
2273,2273,"Deck Officers, Water Transport","Deck officers, water transport",,,,,,,,,,,
2274,2274,"Engineer Officers, Water Transport","Engineer officers, water transport",,,,,,,,,,,
2275,2275,"Railway Traffic Controllers and Marine Traff","Railway traffic controllers and marine traffic regulators",,,,,,,,,,,
2281,2281,"Computer Network Technicians","Computer network technicians",,,,,,,,,,,
2282,2282,"User Support Technicians","User support technicians",,,,,,,,,,,
2283,2283,"Systems Testing Technicians","Information systems testing technicians",,,,,,,,,,,
3111,3111,"Specialist Physicians","Specialist physicians",,,,,,,,,,,
3112,3112,"General Practitioners and Family Physicians","General practitioners and family physicians",,,,,,,,,,,
3113,3113,"Dentists","Dentists",,,,,,,,,,,
3114,3114,"Veterinarians","Veterinarians",,,,,,,,,,,
3121,3121,"Optometrists","Optometrists",,,,,,,,,,,
3122,3122,"Chiropractors","Chiropractors",,,,,,,,,,,
3123,3125,"Other Professional Occupations in Health Diagnosing and Treating","Other professional occupations in health diagnosing and treating",,,,,,,,,,,
3131,3131,"Pharmacists","Pharmacists",,,,,,,,,,,
3132,3132,"Dietitians and Nutritionists","Dietitians and nutritionists",,,,,,,,,,,
3141,3141,"Audiologists and Speech-Language Pathologist","Audiologists and speech-language pathologists",,,,,,,,,,,
3142,3142,"Physiotherapists","Physiotherapists",,,,,,,,,,,
3143,3143,"Occupational Therapists","Occupational therapists",,,,,,,,,,,
3144,3144,"Other Professional Occupations in Therapy and Assessment","Other professional occupations in therapy and assessment",,,,,,,,,,,
3151,3011,"Head Nurses and Supervisors","Nursing co-ordinators and supervisors",,,,,,,,,,,
3152,3124,"Registered Nurses","Allied primary health practitioners",,,,,,,,,,,
3152,3012,"Registered Nurses","Registered nurses and registered psychiatric nurses",,,,,,,,,,,
3211,3211,"Medical laboratory technologists and pathologists' assistants","Medical laboratory technologists",,,,,,,,,,,
3212,3212,"Medical Laboratory Technicians","Medical laboratory technicians and pathologists' assistants",,,,,,,,,,,
3213,3213,"Veterinary and Animal Health Technologists and Technicians","Animal health technologists and veterinary technicians",,,,,,,,,,,
3214,3214,"Respiratory therapists, clinical perfusionists and cardio-pulmonary technologists","Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",,,,,,,,,,,
3215,3215,"Medical Radiation Technologists","Medical radiation technologists",,,,,,,,,,,
3216,3216,"Medical Sonographers","Medical sonographers",,,,,,,,,,,
3217,3217,"Cardiology Technologists","Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",,,,,,,,,,,
3219,3219,"Other medical technologists and technicians (except dental health)","Other medical technologists and technicians (except dental health)",,,,,,,,,,,
3221,3221,"Denturists","Denturists",,,,,,,,,,,
3222,3222,"Dental Hygienists and Dental Therapists","Dental hygienists and dental therapists",,,,,,,,,,,
3223,3223,"Dental technologists, technicians, and laboratory bench workers","Dental technologists, technicians and laboratory assistants",,,,,,,,,,,
3231,3231,"Opticians","Opticians",,,,,,,,,,,
3232,3232,"Midwives and Practitioners of Natural Healing","Practitioners of natural healing",,,,,,,,,,,
3233,3233,"Licensed Practical Nurses","Licensed practical nurses",,,,,,,,,,,
3234,3234,"Ambulance attendants and other paramedical occupations","Paramedical occupations",,,,,,,,,,,
3235,3236,"Other Technical Occupations in Therapy and Assessment","Massage therapists",,,,,,,,,,,
3235,3237,"Other Technical Occupations in Therapy and Assessment","Other technical occupations in therapy and assessment",,,,,,,,,,,
3411,3411,"Dental Assistants","Dental assistants",,,,,,,,,,,
3413,3413,"Nurse Aides, Orderlies and Patient Service Associates","Nurse aides, orderlies and patient service associates",,,,,,,,,,,
3414,3414,"Other Assisting Occupations in Support of Health Services","Other assisting occupations in support of health services",,,,,,,,,,,
4111,4111,"Judges","Judges",,,,,,,,,,,
4112,4112,"Lawyers and Quebec Notaries","Lawyers and Quebec notaries",,,,,,,,,,,
4121,4011,"University Professors","University professors and lecturers",,,,,,,,,,,
4122,4012,"Post-Secondary Teaching and Research Assistants","Post-secondary teaching and research assistants",,,,,,,,,,,
4131,4021,"College and Other Vocational Instructors","College and other vocational instructors",,,,,,,,,,,
4141,4031,"Secondary School Teachers","Secondary school teachers",,,,,,,,,,,
4142,4032,"Elementary School and Kindergarten Teachers","Elementary school and kindergarten teachers",,,,,,,,,,,
4143,4033,"Educational Counsellors","Educational counsellors",,,,,,,,,,,
4151,4151,"Psychologists","Psychologists",,,,,,,,,,,
4152,4152,"Social Workers","Social workers",,,,,,,,,,,
4153,4153,"Family, Marriage and Other Related Counsellors","Family, marriage and other related counsellors",,,,,,,,,,,
4154,4154,"Ministers of Religion","Professional occupations in religion",,,,,,,,,,,
4155,4155,"Probation and Parole Officers and Related Occupations","Probation and parole officers and related occupations",,,,,,,,,,,
4161,4161,"Natural & Applied Science Policy Researchers","Natural and applied science policy researchers, consultants and program officers",,,,,,,,,,,
4162,4162,"Economists and Economic Policy Researchers and Analysts","Economists and economic policy researchers and analysts",,,,,,,,,,,
4163,4163,"Business Development Officers and Marketing","Business development officers and marketing researchers and consultants",,,,,,,,,,,
4164,4164,"Social Policy Researchers, Consultants and Program Officers","Social policy researchers, consultants and program officers",,,,,,,,,,,
4165,4165,"Health Policy Researchers, Consultants and Program Officers","Health policy researchers, consultants and program officers",,,,,,,,,,,
4166,4166,"Education Policy Researchers, Consultants and Program Officers","Education policy researchers, consultants and program officers",,,,,,,,,,,
4167,4167,"Recreation, sports and fitness program supervisors and consultants","Recreation, sports and fitness policy researchers, consultants and program officers",,,,,,,,,,,
4168,4168,"Program Officers Unique to Government","Program officers unique to government",,,,,,,,,,,
4169,4169,"Other professional occupations in social science, n.e.c.","Other professional occupations in social science, n.e.c.",,,,,,,,,,,
4211,4211,"Paralegal and Related Occupations","Paralegal and related occupations",,,,,,,,,,,
4212,4212,"Community and Social Service Workers","Social and community service workers",,,,,,,,,,,
4213,4156,"Employment Counsellors","Employment counsellors",,,,,,,,,,,
4214,4214,"Early Childhood Educators and Assistants","Early childhood educators and assistants",,,,,,,,,,,
4215,4215,"Instructors and teachers of persons with disabilities","Instructors of persons with disabilities",,,,,,,,,,,
4216,4216,"Other Instructors","Other instructors",,,,,,,,,,,
4217,4217,"Other Religious Occupations","Other religious occupations",,,,,,,,,,,
5111,5111,"Librarians","Librarians",,,,,,,,,,,
5112,5112,"Conservators and Curators","Conservators and curators",,,,,,,,,,,
5113,5113,"Archivists","Archivists",,,,,,,,,,,
5121,5121,"Authors and Writers","Authors and writers",,,,,,,,,,,
5122,5122,"Editors","Editors",,,,,,,,,,,
5123,5123,"Journalists","Journalists",,,,,,,,,,,
5124,1123,"Professional Occupations in Public Relations","Professional occupations in advertising, marketing and public relations",,,,,,,,,,,
5125,5125,"Translators, Terminologists and Interpreters","Translators, terminologists and interpreters",,,,,,,,,,,
5131,5131,"Producers, directors, choreographers and related occupations","Producers, directors, choreographers and related occupations",,,,,,,,,,,
5132,5132,"Conductors, Composers and Arrangers","Conductors, composers and arrangers",,,,,,,,,,,
5133,5133,"Musicians and Singers","Musicians and singers",,,,,,,,,,,
5134,5134,"Dancers","Dancers",,,,,,,,,,,
5135,5135,"Actors and Comedians","Actors and comedians",,,,,,,,,,,
5136,5136,"Painters, Sculptors and Other Visual Artists","Painters, sculptors and other visual artists",,,,,,,,,,,
5211,5211,"Library and Archive Technicians and Assistan","Library and public archive technicians",,,,,,,,,,,
5212,5212,"Technical occupations related to museums and art galleries","Technical occupations related to museums and art galleries",,,,,,,,,,,
5221,5221,"Photographers","Photographers",,,,,,,,,,,
5222,5222,"Film and Video Camera Operators","Film and video camera operators",,,,,,,,,,,
5223,5223,"Graphic Arts Technicians","Graphic arts technicians",,,,,,,,,,,
5224,5224,"Broadcast Technicians","Broadcast technicians",,,,,,,,,,,
5225,5225,"Audio and Video Recording Technicians","Audio and video recording technicians",,,,,,,,,,,
5226,5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting / performing arts","Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",,,,,,,,,,,
5227,5227,"Support occupations in motion pictures, broadcasting and the performing arts","Support occupations in motion pictures, broadcasting, photography and the performing arts",,,,,,,,,,,
5231,5231,"Announcers and Other Broadcasters","Announcers and other broadcasters",,,,,,,,,,,
5232,5232,"Other Performers","Other performers, n.e.c.",,,,,,,,,,,
5241,5241,"Graphic Designers and Illustrators","Graphic designers and illustrators",,,,,,,,,,,
5242,5242,"Interior Designers","Interior designers and interior decorators",,,,,,,,,,,
5243,5243,"Theatre, Fashion, Exhibit and Other Creative","Theatre, fashion, exhibit and other creative designers",,,,,,,,,,,
5244,5244,"Artisans and Craftspersons","Artisans and craftspersons",,,,,,,,,,,
5245,5245,"Patternmakers - Textile, Leather and Fur Products","Patternmakers - textile, leather and fur products",,,,,,,,,,,
5251,5251,"Athletes","Athletes",,,,,,,,,,,
5252,5252,"Coaches","Coaches",,,,,,,,,,,
5253,5253,"Sports Officials and Referees","Sports officials and referees",,,,,,,,,,,
5254,5254,"Program leaders and instructors in recreation, sport and fitness","Program leaders and instructors in recreation, sport and fitness",,,,,,,,,,,
6211,6211,"Retail Trade Supervisors","Retail sales supervisors",,,,,,,,,,,
6212,6311,"Food Service Supervisors","Food service supervisors",,,,,,,,,,,
6213,6312,"Executive Housekeepers","Executive housekeepers",,,,,,,,,,,
6214,6316,"Dry Cleaning and Laundry Supervisors","Other services supervisors",,,,,,,,,,,
6215,6315,"Cleaning Supervisors","Cleaning supervisors",,,,,,,,,,,
6216,6313,"Other Service Supervisors","Accommodation, travel, tourism and related services supervisors",,,,,,,,,,,
6221,6221,"Technical Sales Specialists - Wholesale Trade","Technical sales specialists - wholesale trade",,,,,,,,,,,
6231,6231,"Insurance Agents and Brokers","Insurance agents and brokers",,,,,,,,,,,
6232,6232,"Real Estate Agents and Salespersons","Real estate agents and salespersons",,,,,,,,,,,
6233,6222,"Retail and Wholesale Buyers","Retail and wholesale buyers",,,,,,,,,,,
6241,6321,"Chefs","Chefs",,,,,,,,,,,
6242,6322,"Cooks","Cooks",,,,,,,,,,,
6251,6331,"Butchers, meat cutters and fishmongers, retail and wholesale","Butchers, meat cutters and fishmongers - retail and wholesale",,,,,,,,,,,
6252,6332,"Bakers","Bakers",,,,,,,,,,,
6261,4311,"Police Officers (Except Commissioned)","Police officers (except commissioned)",,,,,,,,,,,
6262,4312,"Firefighters","Firefighters",,,,,,,,,,,
6271,6341,"Hairstylists and Barbers","Hairstylists and barbers",,,,,,,,,,,
6272,6346,"Funeral Directors and Embalmers","Funeral directors and embalmers",,,,,,,,,,,
6411,6411,"Sales representatives, wholesale trade (non-technical)","Sales and account representatives - wholesale trade (non-technical)",,,,,,,,,,,
6421,6421,"Retail Salespersons and Sales Clerks","Retail salespersons",,,,,,,,,,,
6431,6521,"Travel Counsellors","Travel counsellors",,,,,,,,,,,
6432,6522,"Pursers and Flight Attendants","Pursers and flight attendants",,,,,,,,,,,
6433,6523,"Airline Sales and Service Agents","Airline ticket and service agents",,,,,,,,,,,
6434,6524,"Ticket agents, cargo service representatives and related clerks (except airline)","Ground and water transport ticket agents, cargo service representatives and related clerks",,,,,,,,,,,
6435,6525,"Hotel Front Desk Clerks","Hotel front desk clerks",,,,,,,,,,,
6441,6531,"Tour and Travel Guides","Tour and travel guides",,,,,,,,,,,
6442,6532,"Outdoor Sport and Recreational Guides","Outdoor sport and recreational guides",,,,,,,,,,,
6443,6533,"Casino Occupations","Casino occupations",,,,,,,,,,,
6451,6511,"Maîtres d'hôtel and Hosts/Hostesses","Maîtres d'hôtel and hosts/hostesses",,,,,,,,,,,
6452,6512,"Bartenders","Bartenders",,,,,,,,,,,
6453,6513,"Food and Beverage Servers","Food and beverage servers",,,,,,,,,,,
6461,4421,"Sheriffs and Bailiffs","Sheriffs and bailiffs",,,,,,,,,,,
6462,4422,"Correctional Service Officers","Correctional service officers",,,,,,,,,,,
6463,4423,"By-Law Enforcement and Other Regulatory Officers, n.e.c","By-law enforcement and other regulatory officers, n.e.c.",,,,,,,,,,,
6464,4313,"Occupations Unique to the Armed Forces","Non-commissioned ranks of the Canadian Forces",,,,,,,,,,,
6471,4412,"Visiting homemakers, housekeepers and related occupations","Home support workers, housekeepers and related occupations",,,,,,,,,,,
6472,4413,"Elementary and secondary school teacher assistants","Elementary and secondary school teacher assistants",,,,,,,,,,,
6474,4411,"Babysitters, Nannies and Parents' Helpers","Home child care providers",,,,,,,,,,,
6481,6561,"Image, Social and Other Personal Consultants","Image, social and other personal consultants",,,,,,,,,,,
6482,6562,"Estheticians, Electrologists and Related Occupations","Estheticians, electrologists and related occupations",,,,,,,,,,,
6483,6563,"Pet Groomers and Animal Care Workers","Pet groomers and animal care workers",,,,,,,,,,,
6484,6564,"Other Personal Service Occupations","Other personal service occupations",,,,,,,,,,,
6611,6611,"Cashiers","Cashiers",,,,,,,,,,,
6621,6621,"Service Station Attendants","Service station attendants",,,,,,,,,,,
6622,6622,"Grocery Clerks and Store Shelf Stockers","Store shelf stockers, clerks and order fillers",,,,,,,,,,,
6623,6623,"Other Elemental Sales Occupations","Other sales related occupations",,,,,,,,,,,
6641,6711,"Food Counter Attendants, Kitchen Helpers and Related Occupations","Food counter attendants, kitchen helpers and related support occupations",,,,,,,,,,,
6651,6541,"Security Guards and Related Occupations","Security guards and related security service occupations",,,,,,,,,,,
6661,6731,"Light Duty Cleaners","Light duty cleaners",,,,,,,,,,,
6662,6732,"Specialized Cleaners","Specialized cleaners",,,,,,,,,,,
6663,6733,"Janitors, Caretakers and Building Superintendents","Janitors, caretakers and building superintendents",,,,,,,,,,,
6671,6722,"Operators and attendants in amusement, recreation and sport","Operators and attendants in amusement, recreation and sport",,,,,,,,,,,
6672,6721,"Other Attendants in Accommodation and Travel","Support occupations in accommodation, travel and facilities set-up services",,,,,,,,,,,
6681,6741,"Dry Cleaning and Laundry Occupations","Dry cleaning, laundry and related occupations",,,,,,,,,,,
6683,6742,"Other Elemental Service Occupations","Other service support occupations, n.e.c.",,,,,,,,,,,
7212,7202,"Contractors and supervisors, electrical trades and telecommunications occupations","Contractors and supervisors, electrical trades and telecommunications occupations",,,,,,,,,,,
7213,7203,"Contractors and Supervisors, Pipefitting Trades","Contractors and supervisors, pipefitting trades",,,,,,,,,,,
7214,7201,"Contractors and Supervisors, Metal Forming,","Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",,,,,,,,,,,
7215,7204,"Contractors and Supervisors, Carpentry Trades","Contractors and supervisors, carpentry trades",,,,,,,,,,,
7216,7301,"Contractors and Supervisors, Mechanic Trades","Contractors and supervisors, mechanic trades",,,,,,,,,,,
7217,7302,"Contractors and supervisors, heavy construction equipment crews","Contractors and supervisors, heavy equipment operator crews",,,,,,,,,,,
7218,7303,"Supervisors, Printing and Related Occupation","Supervisors, printing and related occupations",,,,,,,,,,,
7219,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers","Contractors and supervisors, other construction trades, installers, repairers and servicers",,,,,,,,,,,
7221,7304,"Supervisors, Railway Transport Operations","Supervisors, railway transport operations",,,,,,,,,,,
7222,7305,"Supervisors, Motor Transport and Other Groun","Supervisors, motor transport and other ground transit operators",,,,,,,,,,,
7231,7231,"Machinists and Machining and Tooling Inspectors","Machinists and machining and tooling inspectors",,,,,,,,,,,
7232,7232,"Tool and Die Makers","Tool and die makers",,,,,,,,,,,
7241,7241,"Electricians (except industrial and power system)","Electricians (except industrial and power system)",,,,,,,,,,,
7242,7242,"Industrial Electricians","Industrial electricians",,,,,,,,,,,
7243,7243,"Power System Electricians","Power system electricians",,,,,,,,,,,
7244,7244,"Electrical Power Line and Cable Workers","Electrical power line and cable workers",,,,,,,,,,,
7245,7245,"Telecommunications Line and Cable Workers","Telecommunications line and cable workers",,,,,,,,,,,
7246,7246,"Telecommunications installation and repair workers","Telecommunications installation and repair workers",,,,,,,,,,,
7247,7247,"Cable television service and maintenance technicians","Cable television service and maintenance technicians",,,,,,,,,,,
7251,7251,"Plumbers","Plumbers",,,,,,,,,,,
7252,7252,"Steamfitters, pipefitters and sprinkler system installers","Steamfitters, pipefitters and sprinkler system installers",,,,,,,,,,,
7253,7253,"Gas Fitters","Gas fitters",,,,,,,,,,,
7261,7233,"Sheet Metal Workers","Sheet metal workers",,,,,,,,,,,
7262,7234,"Boilermakers","Boilermakers",,,,,,,,,,,
7263,7235,"Structural metal and platework fabricators and fitters","Structural metal and platework fabricators and fitters",,,,,,,,,,,
7264,7236,"Ironworkers","Ironworkers",,,,,,,,,,,
7265,7237,"Welders and Related Machine Operators","Welders and related machine operators",,,,,,,,,,,
7271,7271,"Carpenters","Carpenters",,,,,,,,,,,
7272,7272,"Cabinetmakers","Cabinetmakers",,,,,,,,,,,
7281,7281,"Bricklayers","Bricklayers",,,,,,,,,,,
7282,7282,"Concrete Finishers","Concrete finishers",,,,,,,,,,,
7283,7283,"Tilesetters","Tilesetters",,,,,,,,,,,
7284,7284,"Plasterers, Drywall Installers and Finishers","Plasterers, drywall installers and finishers and lathers",,,,,,,,,,,
7291,7291,"Roofers and Shinglers","Roofers and shinglers",,,,,,,,,,,
7292,7292,"Glaziers","Glaziers",,,,,,,,,,,
7293,7293,"Insulators","Insulators",,,,,,,,,,,
7294,7294,"Painters and Decorators","Painters and decorators (except interior decorators)",,,,,,,,,,,
7295,7295,"Floor Covering Installers","Floor covering installers",,,,,,,,,,,
7311,7311,"Construction millwrights and industrial mechanics (except textile)","Construction millwrights and industrial mechanics",,,,,,,,,,,
7312,7312,"Heavy-Duty Equipment Mechanics","Heavy-duty equipment mechanics",,,,,,,,,,,
7313,7313,"Refrigeration and Air Conditioning Mechanics","Refrigeration and air conditioning mechanics",,,,,,,,,,,
7314,7314,"Railway Carmen/women","Railway carmen/women",,,,,,,,,,,
7315,7315,"Aircraft Mechanics and Aircraft Inspectors","Aircraft mechanics and aircraft inspectors",,,,,,,,,,,
7316,7316,"Machine Fitters","Machine fitters",,,,,,,,,,,
7318,7318,"Elevator Constructors and Mechanics","Elevator constructors and mechanics",,,,,,,,,,,
7321,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers","Automotive service technicians, truck and bus mechanics and mechanical repairers",,,,,,,,,,,
7322,7322,"Motor Vehicle Body Repairers","Motor vehicle body repairers",,,,,,,,,,,
7331,7331,"Oil and Solid Fuel Heating Mechanics","Oil and solid fuel heating mechanics",,,,,,,,,,,
7332,7332,"Electric Appliance Servicers and Repairers","Appliance servicers and repairers",,,,,,,,,,,
7333,7333,"Electrical Mechanics","Electrical mechanics",,,,,,,,,,,
7334,7334,"Motorcycle and Other Related Mechanics","Motorcycle, all-terrain vehicle and other related mechanics",,,,,,,,,,,
7335,7335,"Other Small Engine and Equipment Mechanics","Other small engine and small equipment repairers",,,,,,,,,,,
7341,6345,"Upholsterers","Upholsterers",,,,,,,,,,,
7342,6342,"Tailors, Dressmakers, Furriers and Milliners","Tailors, dressmakers, furriers and milliners",,,,,,,,,,,
7343,6343,"Err:509","Shoe repairers and shoemakers",,,,,,,,,,,
7344,6344,"Jewellers, watch repairers and related occupations","Jewellers, jewellery and watch repairers and related occupations",,,,,,,,,,,
7351,9241,"Stationary Engineers and Auxiliary Equipment Operators","Power engineers and power systems operators",,,,,,,,,,,
7361,7361,"Railway and Yard Locomotive Engineers","Railway and yard locomotive engineers",,,,,,,,,,,
7362,7362,"Railway Conductors and Brakemen/women","Railway conductors and brakemen/women",,,,,,,,,,,
7371,7371,"Crane Operators","Crane operators",,,,,,,,,,,
7372,7372,"Drillers and blasters - surface mining, quarrying and construction","Drillers and blasters - surface mining, quarrying and construction",,,,,,,,,,,
7373,7373,"Water Well Drillers","Water well drillers",,,,,,,,,,,
7381,7381,"Printing Press Operators","Printing press operators",,,,,,,,,,,
7383,7384,"Other Trades and Related Occupations","Other trades and related occupations, n.e.c.",,,,,,,,,,,
7411,7511,"Truck Drivers","Transport truck drivers",,,,,,,,,,,
7412,7512,"Bus Drivers, Subway Operators and Other Transit Operators","Bus drivers, subway operators and other transit operators",,,,,,,,,,,
7413,7513,"Taxi and Limousine Drivers and Chauffeurs","Taxi and limousine drivers and chauffeurs",,,,,,,,,,,
7414,7514,"Delivery and Courier Service Drivers","Delivery and courier service drivers",,,,,,,,,,,
7421,7521,"Heavy Equipment Operators (Except Crane)","Heavy equipment operators (except crane)",,,,,,,,,,,
7422,7522,"Public Works Maintenance Equipment Operators","Public works maintenance equipment operators and related workers",,,,,,,,,,,
7432,7531,"Railway Track Maintenance Workers","Railway yard and track maintenance workers",,,,,,,,,,,
7433,7532,"Deck Crew, Water Transport","Water transport deck and engine room crew",,,,,,,,,,,
7435,7533,"Lock and cable ferry operators and related occupations","Boat and cable ferry operators and related occupations",,,,,,,,,,,
7437,7534,"Air Transport Ramp Attendants","Air transport ramp attendants",,,,,,,,,,,
7441,7441,"Residential and commercial installers and servicers","Residential and commercial installers and servicers",,,,,,,,,,,
7442,7442,"Waterworks and Gas Maintenance Workers","Waterworks and gas maintenance workers",,,,,,,,,,,
7443,7535,"Automotive Mechanical Installers and Servicers","Other automotive mechanical installers and servicers",,,,,,,,,,,
7444,7444,"Pest Controllers and Fumigators","Pest controllers and fumigators",,,,,,,,,,,
7445,7445,"Other Repairers and Servicers","Other repairers and servicers",,,,,,,,,,,
7451,7451,"Longshore Workers","Longshore workers",,,,,,,,,,,
7452,7452,"Material Handlers","Material handlers",,,,,,,,,,,
7611,7611,"Construction Trades Helpers and Labourers","Construction trades helpers and labourers",,,,,,,,,,,
7612,7612,"Other Trades Helpers and Labourers","Other trades helpers and labourers",,,,,,,,,,,
7621,7621,"Public Works and Maintenance Labourers","Public works and maintenance labourers",,,,,,,,,,,
7622,7622,"Railway and Motor Transport Labourers","Railway and motor transport labourers",,,,,,,,,,,
8211,8211,"Supervisors, Logging and Forestry","Supervisors, logging and forestry",,,,,,,,,,,
8221,8221,"Supervisors, Mining and Quarrying","Supervisors, mining and quarrying",,,,,,,,,,,
8222,8222,"Supervisors, Oil and Gas Drilling and Service","Contractors and supervisors, oil and gas drilling and services",,,,,,,,,,,
8231,8231,"Underground Production and Development Miner","Underground production and development miners",,,,,,,,,,,
8232,8232,"Oil and gas well drillers, servicers, testers and related workers","Oil and gas well drillers, servicers, testers and related workers",,,,,,,,,,,
8241,8241,"Logging Machinery Operators","Logging machinery operators",,,,,,,,,,,
8251,821,"Farmers and Farm Managers","Managers in agriculture",,,,,,,,,,,
8253,8252,"Farm supervisors and specialized livestock workers","Agricultural service contractors, farm supervisors and specialized livestock workers",,,,,,,,,,,
8254,822,"Nursery and Greenhouse Operators and Managers","Managers in horticulture",,,,,,,,,,,
8255,8255,"Landscaping and Grounds Maintenance Contract","Contractors and supervisors, landscaping, grounds maintenance and horticulture services",,,,,,,,,,,
8257,823,"Aquaculture Operators and Managers","Managers in aquaculture",,,,,,,,,,,
8261,8261,"Fishing Masters and Officers","Fishing masters and officers",,,,,,,,,,,
8262,8262,"Fishing Vessel Skippers and Fishermen/women","Fishermen/women",,,,,,,,,,,
8411,8411,"Underground Mine Service and Support Workers","Underground mine service and support workers",,,,,,,,,,,
8412,8412,"Oil and gas well drilling workers and services operators","Oil and gas well drilling and related workers and services operators",,,,,,,,,,,
8421,8421,"Chain Saw and Skidder Operators","Chain saw and skidder operators",,,,,,,,,,,
8422,8422,"Silviculture and Forestry Workers","Silviculture and forestry workers",,,,,,,,,,,
8431,8431,"General Farm Workers","General farm workers",,,,,,,,,,,
8432,8432,"Nursery and Greenhouse Workers","Nursery and greenhouse workers",,,,,,,,,,,
8441,8441,"Fishing Vessel Deckhands","Fishing vessel deckhands",,,,,,,,,,,
8442,8442,"Trappers and Hunters","Trappers and hunters",,,,,,,,,,,
8611,8611,"Harvesting Labourers","Harvesting labourers",,,,,,,,,,,
