CNP 2021 Code (5 chiffres),CNP 2021 Étiquette,CNP 2021 FÉER,CNP 2016 Code (4 chiffres),CNP 2016 Étiquette,CNP 2016 Niveau de compétence,Description
32103,"Inhalothérapeutes, perfusionnistes cardiovasculaires et technologues cardiopulmonaires",2,3124,Praticiens / praticiennes reliés en soins de santé primaire,A,"Le CNP 3124 a été divisé. L'appellation d'emploi ""assistants en anesthésie"" a été déplacée du CNP 3124 au CNP 32103."
,,,3214,"Inhalothérapeutes, perfusionnistes cardiovasculaires et technologues cardiopulmonaires",B,"Les appellations d'emploi liées aux inhalothérapeutes, perfusionnistes cardiovasculaires et technologues cardiopulmonaires ont été déplacées du CNP 3214 au CNP 32103."
32104,Technologues en santé animale et techniciens / techniciennes vétérinaires,2,3213,Technologues en santé animale et techniciens / techniciennes vétérinaires,B,s.o.
32109,Autre personnel technique en thérapie et en diagnostic,2,3142,Physiothérapeutes,A,Le CNP 3142 a été divisé. Les appellations d'emploi liées aux autres personnel technique en thérapie et en diagnostic ont été déplacées du CNP 3142 au CNP 32109.
,,,3237,Autre personnel technique en thérapie et en diagnostic,B,Le CNP 3237 a été divisé. Les appellations d'emploi liées aux autres personnel technique en thérapie et en diagnostic ont été déplacées du CNP 3237 au CNP 32109.
,,,3414,Autre personnel de soutien des services de santé,C,Le CNP 3414 a été divisé. Les appellations d'emploi liées aux assistants en réadaptation et en thérapie ont été déplacées du CNP 3414 au CNP 32109.
32110,Denturologistes,2,3221,Denturologistes,B,s.o.
32111,Hygiénistes et thérapeutes dentaires,2,3222,Hygiénistes et thérapeutes dentaires,B,s.o.
32112,Technologues et techniciens / techniciennes dentaires,2,3223,Technologues et techniciens / techniciennes dentaires et auxiliaires dans les laboratoires dentaires,B,Le CNP 3223 a été divisé. Les appellations d'emploi liées aux technologues et techniciens dentaires ont été déplacées du CNP 3223 au CNP 32112.
32120,Technologues de laboratoires médicaux,2,3211,Technologues de laboratoires médicaux,B,Les appellations d'emploi liées aux technologues de laboratoires médicaux ont été déplacées du CNP 3211 au CNP 32120.
,,,3212,Techniciens / techniciennes de laboratoire médical et assistants / assistantes en pathologie,B,"Le CNP 3212 a été divisé. L'appellation d'emploi ""technicien / technicienne de laboratoire médical et de radiologie"" a été déplacée du CNP 3212 au CNP 32120."
32121,Technologues en radiation médicale,2,3215,Technologues en radiation médicale,B,s.o.
32122,Technologues en échographie,2,3216,Technologues en échographie,B,s.o.
32123,Technologues en cardiologie et technologues en électrophysiologie diagnostique,2,3217,"Technologues en cardiologie et technologues en électrophysiologie diagnostique, n.c.a.",B,s.o.
32124,Techniciens / techniciennes en pharmacie,2,3219,Autres technologues et techniciens / techniciennes des sciences de la santé (sauf soins dentaires),B,Le CNP 3219 a été divisé. Les appellations d'emploi liées aux techniciens en pharmacie ont été déplacées du CNP 3219 au CNP 32124.
32129,Autres technologues et techniciens / techniciennes des sciences de la santé,2,3219,Autres technologues et techniciens / techniciennes des sciences de la santé (sauf soins dentaires),B,Le CNP 3219 a été divisé. Les appellations d'emploi liées aux autres technologues et techniciens des sciences de la santé ont été déplacées du CNP 3219 au CNP 32129.
32200,Praticiens / praticiennes en médecine traditionnelle chinoise et acupuncteurs / acupunctrices,2,3232,Autres praticiens / praticiennes des médecines douces,B,Le CNP 3232 a été divisé. Les appellations d'emploi liées aux praticiens de la médecine traditionnelle chinoise ont été déplacées du CNP 3232 au CNP 32200.
32201,Massothérapeutes,2,3236,Massothérapeutes,B,s.o.
32209,Autres praticiens / praticiennes des médecines douces,2,3232,Autres praticiens / praticiennes des médecines douces,B,Le CNP 3232 a été divisé. Les appellations d'emploi liées aux autres praticiens des médecines douces ont été déplacées du CNP 3232 au CNP 32209.
33100,Assistants / assistantes dentaires et auxiliaires dans les laboratoires dentaires,3,3223,Technologues et techniciens / techniciennes dentaires et auxiliaires dans les laboratoires dentaires,B,Le CNP 3223 a été divisé. Les appellations d'emploi liées aux assistants dentaires et auxiliaires dans les laboratoires dentaires ont été déplacées du CNP 3223 au CNP 33100.
,,,3411,Assistants / assistantes dentaires,C,Les appellations d'emploi liées aux assistants dentaires ont été déplacées du CNP 3411 au CNP 33100.
33101,Assistants / assistantes de laboratoires médicaux et préposés / préposées techniques reliés,3,3212,Techniciens / techniciennes de laboratoire médical et assistants / assistantes en pathologie,B,Le CNP 3212 a été divisé. Les appellations d'emploi liées aux assistants de laboratoires médicaux et préposés techniques reliés ont été déplacées du CNP 3212 au CNP 33101.
33102,"Aides-infirmiers / aides-infirmières, aides-soignants / aides-soignantes et préposés / préposées aux bénéficiaires",3,3413,"Aides-infirmiers / aides-infirmières, aides-soignants / aides-soignantes et préposés / préposées aux bénéficiaires",C,s.o.
33103,Assistants techniques / assistantes techniques en pharmacie et assistants / assistantes en pharmacie,3,3219,Autres technologues et techniciens / techniciennes des sciences de la santé (sauf soins dentaires),B,Le CNP 3219 a été divisé. Les appellations d'emploi liées aux assistants techniques en pharmacie ont été déplacées du CNP 3219 au CNP 33103.
,,,3414,Autre personnel de soutien des services de santé,C,Le CNP 3414 a été divisé. Les appellations d'emploi liées aux assistants techniques en pharmacie ont été déplacées du CNP 3414 au CNP 33103.
33109,Autre personnel de soutien des services de santé,3,3237,Autre personnel technique en thérapie et en diagnostic,B,Le CNP 3237 a été divisé. Les appellations d'emploi liées aux assistants en ophtalmologie et assistants en audiométrie ont été déplacées du CNP 3237 au CNP 33109.
,,,3414,Autre personnel de soutien des services de santé,C,Le CNP 3414 a été divisé. Les appellations d'emploi liées aux autres personnel de soutien des services de santé ont été déplacées du CNP 3414 au CNP 33109.
40010,Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé,0,411,Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé,Gestion / A,s.o.
40011,"Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes",0,412,"Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes",Gestion / A,s.o.
40012,Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes,0,413,Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes,Gestion / A,s.o.
40019,Autres gestionnaires de la fonction publique,0,414,Autres gestionnaires de la fonction publique,Gestion / A,s.o.
40020,Administrateurs / administratrices - enseignement postsecondaire et formation professionnelle,0,421,Administrateurs / administratrices - enseignement postsecondaire et formation professionnelle,Gestion / A,s.o.
40021,Directeurs / directrices d'école et administrateurs / administratrices de programmes d'enseignement aux niveaux primaire et secondaire,0,422,Directeurs / directrices d'école et administrateurs / administratrices de programmes d'enseignement aux niveaux primaire et secondaire,Gestion / A,s.o.
40030,"Directeurs / directrices des services sociaux, communautaires et correctionnels",0,423,"Directeurs / directrices des services sociaux, communautaires et correctionnels",Gestion / A,s.o.
40040,Officiers / officières de direction des services de police et professions connexes des services de la protection du public,0,431,Officiers / officières de direction des services de police,Gestion / A,Le CNP 0431 a été divisé. Les appellations d'emploi liées aux officiers de direction des services de police et professions connexes des services de la protection du public ont été déplacées du CNP 0431 au CNP 40040.
,,,433,Officiers / officières de direction des Forces armées canadiennes,Gestion / A,"Le CNP 0433 a été divisé. L'appellation d'emploi ""officier / officière de la police militaire - cadres supérieurs"" a été déplacée du CNP 0433 au CNP 40040."
40041,Chefs et officiers supérieurs / officières supérieures des services d'incendie,0,432,Chefs et officiers supérieurs / officières supérieures des services d'incendie,Gestion / A,s.o.
40042,Officiers / officières de direction des Forces armées canadiennes,0,433,Officiers / officières de direction des Forces armées canadiennes,Gestion / A,Le CNP 0433 a été divisé. Les appellations d'emploi liées aux officiers de direction des Forces armées canadiennes ont été déplacées du CNP 0433 au CNP 40042.
41100,Juges,1,4111,Juges,A,s.o.
41101,Avocats / avocates (partout au Canada) et notaires (au Québec),1,4112,Avocats / avocates (partout au Canada) et notaires (au Québec),A,s.o.
41200,Professeurs / professeures et chargés / chargées de cours au niveau universitaire,1,4011,Professeurs / professeures et chargés / chargées de cours au niveau universitaire,A,s.o.
41201,Assistants / assistantes d'enseignement et de recherche au niveau postsecondaire,1,4012,Assistants / assistantes d'enseignement et de recherche au niveau postsecondaire,A,s.o.
41210,Enseignants / enseignantes au niveau collégial et autres instructeurs / instructrices en formation professionnelle,1,4021,Enseignants / enseignantes au niveau collégial et autres instructeurs / instructrices en formation professionnelle,A,s.o.
41220,Enseignants / enseignantes au niveau secondaire,1,4031,Enseignants / enseignantes au niveau secondaire,A,s.o.
41221,Enseignants / enseignantes aux niveaux primaire et préscolaire,1,4032,Enseignants / enseignantes aux niveaux primaire et préscolaire,A,s.o.
41300,Travailleurs sociaux / travailleuses sociales,1,4152,Travailleurs sociaux / travailleuses sociales,A,s.o.
41301,Thérapeutes en counseling et thérapies spécialisées connexes,1,4151,Psychologues,A,Le CNP 4151 a été divisé. Les appellations d'emploi liées à la psychothérapie ont été déplacées du CNP 4151 au CNP 41301.
,,,3144,Autres professionnels / professionnelles en thérapie et en diagnostic,A,Le CNP 3144 a été divisé. Les appellations d'emploi liées à l'art-thérapie ont été déplacées du CNP 3144 au CNP 41301.
,,,4153,"Thérapeutes conjugaux / thérapeutes conjugales, thérapeutes familiaux / thérapeutes familiales et autres conseillers assimilés / conseillères assimilées",A,Le CNP 4153 a été divisé. Les appellations d'emploi liées au thérapeutes en counseling et thérapies spécialisées connexes ont été déplacées du CNP 4153 au CNP 41301.
41302,Chefs religieux,1,4154,Personnel professionnel relié à la religion,A,s.o.
41310,Enquêteurs / enquêteuses de police et autres professions d’enquête,1,431,Enseignants / enseignantes au niveau secondaire,Gestion / A,Le CNP 0431 a été divisé. Les appellations d'emploi liées aux enquêteurs de police ont été déplacées du CNP 0431 au CNP 41310.
,,,4311,Policiers / policières (sauf cadres supérieurs),B,Le CNP 4311 a été divisé. Les appellations d'emploi liées aux enquêteurs de police ont été déplacées du CNP 4311 au CNP 41310.
,,,4165,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes en politiques de la santé",A,"Le CNP 4165 a été divisé. L'appellation d'emploi ""coroner"" a été déplacée du CNP 4165 au CNP 41310."
41311,Agents / agentes de probation et de libération conditionnelle,1,4155,Agents / agentes de probation et de libération conditionnelle et personnel assimilé,A,Le CNP 4155 a été divisé. Les appellations d'emploi liées aux agents de probation et de libération conditionnelle ont été déplacées du CNP 4155 au CNP 41311.
41320,Conseillers / conseillères en information scolaire,1,4033,Conseillers / conseillères en information scolaire,A,s.o.
41321,Conseillers / conseillères en développement de carrière et conseillers / conseillères en orientation (sauf éducation),1,4153,"Thérapeutes conjugaux / thérapeutes conjugales, thérapeutes familiaux / thérapeutes familiales et autres conseillers assimilés / conseillères assimilées",A,"Le CNP 4153 a été divisé. L'appellation d'emploi ""conseiller / conseillère professionnelle"" a été déplacée du CNP 4153 au CNP 41321."
,,,4156,Conseillers / conseillères en emploi,A,Les appellations d'emploi liées aux conseillers en emploi ont été déplacées du CNP 4156 au CNP 41321.
41400,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes, en sciences naturelles et appliquées",1,4161,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes, en sciences naturelles et appliquées",A,s.o.
41401,"Économistes, recherchistes et analystes des politiques économiques",1,4162,"Économistes, recherchistes et analystes des politiques économiques",A,s.o.
41402,Agents / agentes de développement économique et recherchistes et analystes en marketing,1,4163,"Agents / agentes de développement économique, recherchistes et experts-conseils / expertes-conseils en marketing",A,Le CNP 4163 a été divisé. Les appellations d'emploi liées aux agents de développement économique et recherchistes et analystes en marketing ont été déplacées du CNP 4163 au CNP 41402.
41403,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes en politiques sociales",1,4164,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes en politiques sociales",A,s.o.
41404,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes en politiques de la santé",1,4165,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes en politiques de la santé",A,"Le CNP 4165 a été divisé. Les appellations d'emploi liées aux recherchistes, experts-conseils et agents de programmes en politiques de la santé ont été déplacées du CNP 4165 au CNP 41404."
41405,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes en politiques de l'enseignement",1,4166,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes en politiques de l'enseignement",A,s.o.
41406,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programme en sports, en loisirs et en conditionnement physique",1,4167,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programme en sports, en loisirs et en conditionnement physique",A,s.o.
41407,Agents / agentes de programmes propres au gouvernement,1,4168,Agents / agentes de programmes propres au gouvernement,A,s.o.
41409,Autres professionnels / professionnelles des sciences sociales,1,4169,"Autres professionnels / professionnelles des sciences sociales, n.c.a.",A,s.o.
42100,Policiers / policières (sauf cadres supérieurs),2,4311,Policiers / policières (sauf cadres supérieurs),B,Le CNP 4311 a été divisé. Les appellations d'emploi liées aux policiers (sauf cadres supérieurs) ont été déplacées du CNP 4311 au CNP 42100.
,,,4313,Sous-officiers / sous-officières des Forces armées canadiennes,B,"Le CNP 4313 a été divisé. L'appellation d'emploi ""policier / policière militaire - sauf cadres supérieurs"" a été déplacée du CNP 4313 au CNP 42100."
42101,Pompiers / pompières,2,4312,Pompiers / pompières,B,s.o.
42102,Membres spécialisés des Forces armées canadiennes,2,4313,Sous-officiers / sous-officières des Forces armées canadiennes,B,Le CNP 4313 a été divisé. Les appellations d'emploi liées aux professions militaires qui typiquement exigent des études collégiales ou une formation d'apprenti de 2 années et plus ont été déplacées du CNP 4313 au CNP 42102.
42200,Techniciens / techniciennes juridiques et personnel assimilé,2,4211,Techniciens / techniciennes juridiques et personnel assimilé,B,Les appellations d'emploi liées aux techniciens juridiques et personnel assimilé ont été déplacées du CNP 4211 au CNP 42200.
,,,1227,Juges de paix et officiers / officières de justice,B,Le CNP 1227 a été divisé. Les appellations d'emploi liées aux juges de paix ont été déplacées du CNP 1227 au CNP 42200.
42201,Travailleurs / travailleuses des services sociaux et communautaires,2,4212,Travailleurs / travailleuses des services sociaux et communautaires,B,Les appellations d'emploi liées aux travailleurs des services sociaux et communautaires ont été déplacées du CNP 4212 au CNP 42201.
,,,4155,Agents / agentes de probation et de libération conditionnelle et personnel assimilé,A,Le CNP 4155 a été divisé. Les appellations d'emploi liées aux agents chargés de cas dans un centre correctionnel ont été déplacées du CNP 4155 au CNP 42201.
42202,Éducateurs / éducatrices et aides-éducateurs / aides-éducatrices de la petite enfance,2,4214,Éducateurs / éducatrices et aides-éducateurs / aides-éducatrices de la petite enfance,B,s.o.
42203,Instructeurs / instructrices pour personnes ayant une déficience,2,4215,Instructeurs / instructrices pour personnes ayant une déficience,B,s.o.
42204,Travailleurs / travailleuses de la religion,2,4217,Autre personnel relié à la religion,B,s.o.
43100,Aides-enseignants / aides-enseignantes aux niveaux primaire et secondaire,3,4413,Aides-enseignants / aides-enseignantes aux niveaux primaire et secondaire,C,Le CNP 4413 a été divisé. Les appellations d'emploi liées aux aides-enseignants aux niveaux primaire et secondaire ont été déplacées du CNP 4413 CNP 43100.
43109,Autres instructeurs / instructrices,3,4216,Autres instructeurs / instructrices,B,s.o.
43200,Shérifs et huissiers / huissières de justice,3,4421,Shérifs et huissiers / huissières de justice,C,s.o.
43201,Agents / agentes de services correctionnels,3,4422,Agents / agentes de services correctionnels,C,s.o.
43202,Agents / agentes d'application de règlements municipaux et autres agents / agentes de réglementation,3,4423,"Agents / agentes d'application de règlements municipaux et autres agents / agentes de réglementation, n.c.a.",C,s.o.
43203,"Agents / agentes de services frontaliers, des douanes, et de l’immigration",3,1228,"Agents / agentes d'assurance-emploi, d'immigration, de services frontaliers et du revenu",B,"Le CNP 1228 a été divisé. Les appellations d'emploi liées aux agents de l’immigration, des douanes, et de services frontaliers ont été déplacées du CNP 1228 au CNP 43203. Cette profession a été déplacée au secteur social, GCP 4 (Enseignement, droit et services sociaux, communautaires et gouvernementaux)."
43204,Membres des opérations des Forces armées canadiennes,3,4313,Sous-officiers / sous-officières des Forces armées canadiennes,B,Le CNP 4313 a été divisé. Les appellations d'emploi liées aux professions militaires qui typiquement exigent des études collégiales ou une formation d'apprenti de moins de 2 années ont été déplacées du CNP 4313 au CNP 43204.
44100,Gardiens / gardiennes d'enfants en milieu familial,4,4411,Gardiens / gardiennes d'enfants en milieu familial,C,s.o.
44101,"Aides de maintien à domicile, aides familiaux / familiales et personnel assimilé",4,4412,"Aide-ménager / aide-ménagères, aides familiaux / familiales et personnel assimilé",C,"Le CNP 4412 a été divisé. Les appellations d'emploi liées aux aides de maintien à domicile, aides familiaux et personnel assimilé ont été déplacées du CNP 4412 au CNP 44101."
44200,Combattants / combattantes de première ligne des Forces armées canadiennes,4,4313,Sous-officiers / sous-officières des Forces armées canadiennes,B,Le CNP 4313 a été divisé. Les appellations d'emploi liées aux professions militaires qui typiquement n'exigent pas des études collégiales ni de formation d'apprenti ont été déplacées du CNP 4313 au CNP 44200.
45100,"Surveillants / surveillantes d’élèves, brigadiers / brigadières et autres professions connexes",5,4413,Aides-enseignants / aides-enseignantes aux niveaux primaire et secondaire,C,Le CNP 4413 a été divisé. Les appellations d'emploi liées au surveillants d’élèves ont été déplacées du CNP 4413 au CNP 45100.
,,,6541,Agents / agentes de sécurité et personnel assimilé des services de sécurité,C,"Le CNP 6541 a été divisé. Les appellations d'emploi ""Brigadier / brigadière scolaire"" et ""Brigadier / brigadière"" ont été déplacées du CNP 6541 au CNP 45100."
50010,"Directeurs / directrices de bibliothèques, des archives, de musées et de galeries d'art",0,511,"Directeurs / directrices de bibliothèques, des archives, de musées et de galeries d'art",Gestion / A,s.o.
50011,"Directeurs / directrices - édition, cinéma, radiotélédiffusion et arts de la scène",0,512,"Directeurs / directrices - édition, cinéma, radiotélédiffusion et arts de la scène",Gestion / A,s.o.
50012,"Directeurs / directrices de programmes et de services de sports, de loisirs et de conditionnement physique",0,513,"Directeurs / directrices de programmes et de services de sports, de loisirs et de conditionnement physique",Gestion / A,s.o.
51100,Bibliothécaires,1,5111,Bibliothécaires,A,s.o.
51101,Restaurateurs / restauratrices et conservateurs / conservatrices,1,5112,Restaurateurs / restauratrices et conservateurs / conservatrices,A,s.o.
51102,Archivistes,1,5113,Archivistes,A,s.o.
51110,"Réviseurs / réviseures, rédacteurs-réviseurs / rédactrices-réviseures et chefs du service des nouvelles",1,5122,"Réviseurs / réviseures, rédacteurs-réviseurs / rédactrices-réviseures et chefs du service des nouvelles",A,s.o.
51111,"Auteurs / auteures, écrivains / écrivaines et rédacteurs / rédactrices (sauf techniques)",1,5121,"Auteurs / auteures, rédacteurs / rédactrices et écrivains / écrivaines",A,Le CNP 5121 a été divisé. Les appellations d'emploi liées aux auteurs et aux écrivains ont été déplacées du CNP 5121 au CNP 51111.
51112,Rédacteurs / rédactrices techniques,1,5121,"Auteurs / auteures, rédacteurs / rédactrices et écrivains / écrivaines",A,Le CNP 5121 a été divisé. Les appellations d'emploi liées à la rédaction technique ont été déplacées du CNP 5121 au CNP 51112.
51113,Journalistes,1,5123,Journalistes,A,s.o.
51114,"Traducteurs / traductrices, terminologues et interprètes",1,5125,"Traducteurs / traductrices, terminologues et interprètes",A,s.o.
51120,"Producteurs / productrices, réalisateurs / réalisatrices, chorégraphes et personnel assimilé",1,5131,"Producteurs / productrices, réalisateurs / réalisatrices, chorégraphes et personnel assimilé",A,s.o.
51121,"Chefs d'orchestre, compositeurs / compositrices et arrangeurs / arrangeuses",1,5132,"Chefs d'orchestre, compositeurs / compositrices et arrangeurs / arrangeuses",A,s.o.
51122,Musiciens / musiciennes et chanteurs / chanteuses,1,5133,Musiciens / musiciennes et chanteurs / chanteuses,A,s.o.
52100,Techniciens / techniciennes dans les bibliothèques et les services d'archives publiques,2,5211,Techniciens / techniciennes dans les bibliothèques et les services d'archives publiques,B,s.o.
52110,Cadreurs / cadreuses de films et cadreurs / cadreuses vidéo,2,5222,Cadreurs / cadreuses de films et cadreurs / cadreuses vidéo,B,s.o.
52111,Techniciens / techniciennes en graphisme,2,5223,Techniciens / techniciennes en graphisme,B,s.o.
52112,Techniciens / techniciennes en radiotélédiffusion,2,5224,Techniciens / techniciennes en radiotélédiffusion,B,s.o.
52113,Techniciens / techniciennes en enregistrement audio et vidéo,2,5225,Techniciens / techniciennes en enregistrement audio et vidéo,B,s.o.
52114,Annonceurs / annonceuses et autres communicateurs / communicatrices,2,5231,Annonceurs / annonceuses et autres communicateurs / communicatrices,B,s.o.
52119,"Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène",2,5226,"Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène",B,s.o.
52120,Designers graphiques et illustrateurs / illustratrices,2,5241,Designers graphiques et illustrateurs / illustratrices,B,s.o.
52121,Designers d'intérieur et décorateurs / décoratrices d'intérieur,2,5242,Designers d'intérieur et décorateurs / décoratrices d'intérieur,B,s.o.
53100,"Registraires, restaurateurs / restauratrices, interprètes et autres travailleurs / travailleuses dans les domaines apparentés des musées et des galeries d'art",3,5212,Personnel technique des musées et des galeries d'art,B,s.o.
53110,Photographes,3,5221,Photographes,B,s.o.
53111,"Assistants / assistantes et opérateurs / opératrices du domaine du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène",3,5227,"Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène",B,s.o.
53120,Danseurs / danseuses,3,5134,Danseurs / danseuses,A,s.o.
53121,"Acteurs / actrices, comédiens / comédiennes et artistes de cirque",3,5135,Acteurs / actrices et comédiens / comédiennes,A,Les appellations d'emploi liées aux acteurs et comédiens ont été déplacées du CNP 5135 au CNP 53121.
,,,5232,"Autres artistes de spectacle, n.c.a.",B,Le CNP 5232 a été divisé. Les appellations d'emploi liées aux spectacles de cirque ont été déplacées du CNP 5232 au CNP 53121.
53122,"Peintres, sculpteurs / sculpteures et autres artistes des arts visuels",3,5136,"Peintres, sculpteurs / sculpteures et autres artistes des arts visuels",A,s.o.
53123,"Ensembliers / ensemblières de théâtre, dessinateurs / dessinatrices de mode, concepteurs / conceptrices d'expositions et autres concepteurs / conceptrices artistiques",3,5243,"Ensembliers / ensemblières de théâtre, dessinateurs / dessinatrices de mode, concepteurs / conceptrices d'expositions et autres concepteurs / conceptrices artistiques",B,"Le CNP 5243 a été divisé. Les appellations d'emploi liées aux ensembliers de théâtre, dessinateurs de mode, concepteurs d'expositions et autres concepteurs artistiques ont été déplacées du CNP 5243 au CNP 53123."
53124,Artisans / artisanes,3,5244,Artisans / artisanes,B,s.o.
53125,Patronniers / patronnières de produits textiles et d'articles en cuir et en fourrure,3,5245,Patronniers / patronnières de produits textiles et d'articles en cuir et en fourrure,B,s.o.
53200,Athlètes,3,5251,Athlètes,B,s.o.
53201,Entraîneurs / entraîneuses,3,5252,Entraîneurs / entraîneuses,B,s.o.
53202,Arbitres et officiels / officielles de sports,3,5253,Arbitres et officiels / officielles de sports,B,s.o.
54100,"Animateurs / animatrices et responsables de programmes de sports, de loisirs et de conditionnement physique",4,5254,"Animateurs / animatrices et responsables de programmes de sports, de loisirs et de conditionnement physique",B,s.o.
55109,Autres artistes de spectacle,5,5232,"Autres artistes de spectacle, n.c.a.",B,Le CNP 5232 a été divisé. Les appellations d'emploi liées aux autres artistes de spectacle ont été déplacées du CNP 5232 au CNP 55109.
60010,Directeurs / directrices des ventes corporatives,0,601,Directeurs / directrices des ventes corporatives,Gestion / A,s.o.
60020,Directeurs / directrices - commerce de détail et de gros,0,621,Directeurs / directrices - commerce de détail et de gros,Gestion / A,s.o.
60030,Directeurs / directrices de la restauration et des services alimentaires,0,631,Directeurs / directrices de la restauration et des services alimentaires,Gestion / A,s.o.
60031,Directeurs / directrices des services d'hébergement,0,632,Directeurs / directrices des services d'hébergement,Gestion / A,s.o.
60040,Directeurs / directrices du service à la clientèle et des services personnels,0,651,"Directeurs / directrices du service à la clientèle et des services personnels, n.c.a.",Gestion / A,s.o.
62010,Superviseurs / superviseures des ventes - commerce de détail,2,5243,"Ensembliers / ensemblières de théâtre, dessinateurs / dessinatrices de mode, concepteurs / conceptrices d'expositions et autres concepteurs / conceptrices artistiques",B,"Le CNP 5243 a été divisé. Les appellations d'emploi ""superviseur / superviseure de concepteurs de présentoirs"" et ""surveillant / surveillante de la conception de présentoirs"" ont été déplacées du CNP 5243 au CNP 62010."
,,,6211,Superviseurs / superviseures des ventes - commerce de détail,B,Les appellations d'emploi liées aux superviseurs des ventes - commerce de détail ont été déplacées du CNP 6211 au CNP 62010\).
62020,Superviseurs / superviseures des services alimentaires,2,6311,Superviseurs / superviseures des services alimentaires,B,s.o.
62021,Gouvernants principaux / gouvernantes principales,2,6312,Gouvernants principaux / gouvernantes principales,B,s.o.
62022,"Superviseurs / superviseures des services d'hébergement, de voyages, de tourisme et des services connexes",2,6313,"Superviseurs / superviseures des services d'hébergement, de voyages, de tourisme et des services connexes",B,s.o.
62023,Superviseurs / superviseures des services d'information et des services à la clientèle,2,6314,Superviseurs / superviseures des services d'information et des services à la clientèle,B,s.o.
62024,Surveillants / surveillantes des services de nettoyage,2,6315,Surveillants / surveillantes des services de nettoyage,B,s.o.
62029,Surveillants / surveillantes des autres services,2,6316,Surveillants / surveillantes des autres services,B,Le CNP 6316 a été divisé. Les appellations d'emploi liées aux surveillants des autres services ont été déplacées du CNP 6316 au CNP 62029.
62100,Spécialistes des ventes techniques - commerce de gros,2,6221,Spécialistes des ventes techniques - commerce de gros,B,Le CNP 6221 a été divisé. Les appellations d'emploi liées aux spécialistes des ventes techniques en commerce de gros ont été déplacées du CNP 6221 au CNP 62100.
,,,6411,Représentants / représentantes des ventes et des comptes - commerce de gros (non-technique),C,"Le CNP 6411 a été divisé. Les appellations d'emploi ""négociant / négociante en grains"" et ""représentant / représentante des ventes de bétail - commerce de gros"" ont été déplacées du CNP 6411 au CNP 62100."
62101,Acheteurs / acheteuses des commerces de détail et de gros,2,6222,Acheteurs / acheteuses des commerces de détail et de gros,B,s.o.
62200,Chefs,2,6321,Chefs,B,s.o.
62201,Directeurs / directrices de funérailles et embaumeurs / embaumeuses,2,6346,Directeurs / directrices de funérailles et embaumeurs / embaumeuses,B,s.o.
62202,"Bijoutiers / bijoutières, réparateurs / réparatrices de bijoux, horlogers-rhabilleurs / horlogères-rhabilleuses et personnel assimilé",2,6344,"Bijoutiers / bijoutières, réparateurs / réparatrices de bijoux, horlogers-rhabilleurs / horlogères-rhabilleuses et personnel assimilé",B,s.o.
63100,Agents / agentes et courtiers / courtières d'assurance,3,6231,Agents / agentes et courtiers / courtières d'assurance,B,s.o.
63101,Agents / agentes et vendeurs / vendeuses en immobilier,3,6232,Agents / agentes et vendeurs / vendeuses en immobilier,B,s.o.
63102,Représentants / représentantes des ventes financières,3,6235,Représentants / représentantes des ventes financières,B,s.o.
63200,Cuisiniers / cuisinières,3,6322,Cuisiniers / cuisinières,B,s.o.
63201,Bouchers / bouchères - commerce de gros et de détail,3,6331,"Bouchers / bouchères, coupeurs / coupeuses de viande et poissonniers / poissonnières - commerce de gros et de détail",B,Le CNP 6331 a été divisé. Les appellations d'emploi liées aux bouchers ont été déplacées du CNP 6331 au CNP 63201.
63202,Boulangers-pâtissiers / boulangères-pâtissières,3,6332,Boulangers-pâtissiers / boulangères-pâtissières,B,s.o.
63210,Coiffeurs / coiffeuses et barbiers,3,6341,Coiffeurs / coiffeuses et barbiers,B,s.o.
63211,"Esthéticiens / esthéticiennes, électrolystes et personnel assimilé",3,6562,"Esthéticiens / esthéticiennes, électrolystes et personnel assimilé",C,s.o.
63220,Cordonniers / cordonnières et fabricants / fabricantes de chaussures,3,6343,Cordonniers / cordonnières et fabricants / fabricantes de chaussures,B,s.o.
